GENERATIONS,MAX,AVR,MEDIAN,DIVERSITY
712,14124,14018.07,14124,99.93
713,14124,14095.11,14124,99.87
714,14124,14101.53,14124,99.85
715,14124,13963.5,14124,99.83
716,14124,14046.96,14124,99.89
717,14124,13985.97,14124,99.91
718,14124,13989.18,14124,99.75
719,14124,14021.28,14124,99.91
720,14124,14104.74,14124,99.91
721,14124,13838.31,14124,99.85
722,14124,13844.73,14124,99.91
723,14124,13867.2,14124,99.87
724,14124,13982.76,14124,99.85
725,14124,13998.81,14124,99.97
726,14124,13870.41,14124,99.93
727,14124,13947.45,14124,99.95
728,14124,13924.98,14124,99.89
729,14124,14008.44,14124,99.83
730,14124,14002.02,14124,99.85
731,14124,14034.12,14124,99.95
732,14124,14037.33,14124,99.95
733,14124,14082.27,14124,99.87
734,14124,14056.59,14124,99.83
735,14124,14059.8,14124,99.97
736,14124,14066.22,14124,99.85
737,14124,14053.38,14124,99.91
738,14124,13957.08,14124,99.93
739,14124,14050.17,14124,99.89
740,14124,14014.86,14124,99.87
741,14124,14046.96,14124,99.95
742,14124,14024.49,14124,99.89
743,14124,13915.35,14124,99.87
744,14124,13998.81,14124,99.85
745,14124,14069.43,14124,99.91
746,14124,14011.65,14124,99.89
747,14124,14002.02,14124,99.87
748,14124,14011.65,14124,99.93
749,14124,13931.4,14124,99.89
750,14124,13963.5,14124,99.89
751,14124,13944.24,14124,99.91
752,14124,14043.75,14124,99.87
753,14124,14072.64,14124,99.93
754,14124,14027.7,14124,99.87
755,14124,14024.49,14124,99.89
756,14124,14069.43,14124,99.89
757,14124,14053.38,14124,99.85
758,14124,14030.91,14124,99.89
759,14124,13982.76,14124,99.89
760,14124,13966.71,14124,99.95
761,14124,13957.08,14124,99.89
762,14124,13998.81,14124,99.83
763,14124,14069.43,14124,99.85
764,14124,14101.53,14124,99.87
765,14124,14034.12,14124,99.85
766,14124,13957.08,14124,99.81
767,14124,13995.6,14124,99.77
768,14124,13976.34,14124,99.71
769,14124,14046.96,14124,99.83
770,14124,14027.7,14124,99.67
771,14124,14018.07,14124,99.69
772,14124,14008.44,14124,99.79
773,14124,14050.17,14124,99.85
774,14124,13976.34,14124,99.67
775,14124,13934.61,14124,99.67
776,14124,14101.53,14124,99.79
777,14124,13889.67,14124,99.77
778,14124,14072.64,14124,99.75
779,14124,13947.45,14124,99.89
780,14124,14018.07,14124,99.77
781,14124,13982.76,14124,99.91
782,14124,13985.97,14124,99.77
783,14124,13886.46,14124,99.79
784,14124,14024.49,14124,99.89
785,14124,13860.78,14124,99.79
786,14124,14018.07,14124,99.75
787,14124,14037.33,14124,99.81
788,14124,13985.97,14124,99.83
789,14124,14005.23,14124,99.89
790,14124,14037.33,14124,99.87
791,14124,13928.19,14124,99.87
792,14124,14005.23,14124,99.81
793,14124,14018.07,14124,99.79
794,14124,14021.28,14124,99.69
795,14124,14085.48,14124,99.73
796,14124,13902.51,14124,99.85
797,14124,13976.34,14124,99.77
798,14124,14018.07,14124,99.83
799,14124,14046.96,14124,99.85
800,14124,14008.44,14124,99.83
801,14124,14005.23,14124,99.61
802,14124,13921.77,14124,99.85
